,London Mean Roadside,,,,,,,London Mean Background,,,,,,
Month,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
Jan-2008,,55.5,,29.5,25.0,14.7,4.2,,42.3,,36.9,18.8,.,3.6
Feb-2008,,75.9,,20.3,39.5,28.8,7.6,,60.2,,26.4,31.9,.,6.7
Mar-2008,,55.6,,40.1,21.6,12.3,3.9,,39.8,,50.2,15.5,.,2.3
Apr-2008,,61.8,,37.9,28.7,20.5,4.5,,44.0,,50.1,21.7,.,3.2
May-2008,,62.9,,46.3,34.6,27.5,4.6,,44.1,,60.5,29.5,16.6,4.3
Jun-2008,,49.2,,39.8,23.2,16.0,3.6,,31.2,,51.3,18.3,12.6,2.5
Jul-2008,,48.4,,35.0,23.0,14.2,3.1,,31.2,,46.6,17.2,11.9,2.5
Aug-2008,,41.1,,30.0,20.7,11.5,2.2,,27.9,,37.1,15.5,11.2,2.1
Sep-2008,,54.1,,22.4,28.2,18.0,3.7,,41.2,,28.9,22.2,15.3,3.1
Oct-2008,,56.7,,19.3,23.0,12.9,4.3,,43.8,,25.4,16.5,11.6,2.8
Nov-2008,,57.9,,18.8,21.9,14.7,3.3,,42.3,,22.6,16.8,12.9,2.7
Dec-2008,,65.1,,14.5,27.3,20.5,3.8,,47.5,,16.7,21.5,18.1,3.5
Jan-2009,,68.5,,18.8,31.1,23.2,5.9,,52.0,,21.5,25.3,20.7,4.8
Feb-2009,,71.9,,15.1,28.0,19.1,4.7,,52.7,,20.3,20.8,17.2,3.0
Mar-2009,,65.2,,32.3,30.0,19.7,3.3,,45.3,,40.2,24.3,17.3,2.9
Apr-2009,,63.2,,35.7,32.6,26.1,2.7,,40.1,,46.0,27.7,21.6,2.7
May-2009,,48.6,,45.4,24.9,14.3,2.8,,28.1,,55.1,19.7,11.8,2.4
Jun-2009,,56.1,,40.1,24.7,15.9,3.6,,33.1,,52.5,19.9,13.1,2.5
Jul-2009,,44.4,,32.8,20.2,11.2,2.4,,24.9,,40.4,15.5,9.8,2.2
Aug-2009,,48.7,,28.6,21.7,13.3,2.3,,29.2,,36.0,16.6,11.4,2.5
Sep-2009,,51.6,,26.3,24.3,14.4,2.4,,32.7,,33.1,19.1,11.6,3.0
Oct-2009,,62.9,,15.0,27.2,18.0,4.3,,44.3,,20.3,21.5,14.4,4.0
Nov-2009,,53.7,,29.9,21.9,12.9,3.4,,36.6,,36.5,17.5,11.4,2.8
Dec-2009,,65.2,,18.9,23.1,16.3,4.1,,50.0,,22.3,18.6,13.9,3.6
Jan-2010,100.5,65.7,166.4,14.0,30.2,24.3,4.7,45.2,51.9,97.2,17.4,25.0,22.1,4.2
Feb-2010,78.8,63.9,142.8,23.8,25.2,18.3,4.6,29.3,47.7,77.0,29.8,19.4,15.9,3.2
Mar-2010,72.4,59.8,120.6,26.4,25.6,15.9,3.4,23.0,40.8,63.8,42.5,19.4,14.1,2.7
Apr-2010,63.9,60.2,124.0,37.2,29.8,18.8,4.6,20.9,41.9,62.8,50.2,24.3,16.3,4.1
May-2010,60.9,53.2,114.1,35.1,24.5,16.2,3.9,17.3,33.1,50.5,47.2,19.9,13.2,3.2
Jun-2010,55.2,53.9,109.1,34.0,26.5,17.4,4.4,13.4,33.7,47.1,50.2,22.0,15.1,3.2
Jul-2010,58.7,46.5,105.2,28.6,20.9,12.5,3.1,11.5,25.1,36.6,42.8,16.5,8.9,2.6
Aug-2010,60.6,46.6,107.2,24.3,18.1,11.0,3.3,13.0,26.1,39.1,35.9,15.4,8.9,2.0
Sep-2010,78.1,57.2,135.3,20.3,23.8,14.5,3.6,23.9,35.4,59.4,31.8,14.5,11.4,2.7
Oct-2010,82.0,59.6,141.6,19.2,25.2,15.9,3.5,30.7,38.5,69.2,27.7,20.0,13.0,2.7
Nov-2010,116.6,65.7,182.2,15.4,28.2,21.9,4.2,60.6,46.9,107.5,20.4,22.5,18.2,3.7
Dec-2010,111.2,71.3,182.4,10.7,27.2,22.6,3.9,54.9,53.9,108.8,13.9,21.7,19.2,3.7
Jan-2011,78.1,61.8,140.0,21.5,24.4,17.0,3.4,31.9,44.4,76.4,26.5,19.4,14.6,3.5
Feb-2011,81.1,60.4,141.4,23.5,32.6,24.3,2.9,25.8,41.2,66.6,31.3,26.5,19.9,2.3
Mar-2011,94.7,69.0,163.5,23.0,43.3,32.6,3.8,36.6,49.7,86.3,32.5,36.9,29.9,4.1
Apr-2011,64.4,63.4,127.8,38.7,39.2,28.2,3.1,17.3,40.4,57.7,52.9,34.2,25.6,4.4
May-2011,50.2,49.4,99.5,42.4,23.7,13.0,2.4,9.7,26.2,35.9,57.4,19.1,11.3,3.2
Jun-2011,46.4,50.1,111.0,30.3,20.7,12.0,2.3,12.2,25.5,37.7,43.1,15.7,10.5,2.8
Jul-2011,60.8,51.5,112.3,32.8,21.0,12.8,2.6,11.7,25.9,37.6,46.0,16.7,11.5,2.6
Aug-2011,72.3,42.2,124.1,23.2,20.4,11.9,2.9,14.2,21.2,31.7,27.1,12.1,10.4,3.2
Sep-2011,87.6,55.6,143.1,24.1,26.4,14.9,2.1,22.3,31.4,53.7,34.1,20.3,12.9,3.8
Oct-2011,92.1,60.1,152.2,22.6,25.5,14.7,2.8,27.2,37.3,64.6,30.1,18.9,14.0,4.2
Nov-2011,122.8,48.8,186.7,10.9,35.4,25.2,3.4,45.4,42.6,87.9,17.3,27.8,23.5,5.1
Dec-2011,79.4,58.1,137.5,25.9,19.1,9.2,2.9,17.7,36.0,53.8,33.6,12.9,9.5,4.1
Jan-2012,103.9,62.3,166.3,20.6,26.5,15.8,3.0,37.6,40.6,78.2,27.4,20.0,15.2,4.0
Feb-2012,109.8,69.9,179.7,19.8,35.0,21.5,3.5,35.9,45.6,81.5,27.2,26.0,20.9,4.2
Mar-2012,110.6,72.8,183.4,21.0,42.6,30.3,3.7,38.1,47.6,85.6,28.6,35.5,28.5,5.0
Apr-2012,70.3,59.0,129.3,40.8,21.8,13.3,2.2,12.8,31.9,44.7,52.8,16.0,11.6,3.9
May-2012,63.0,57.5,120.5,43.2,29.4,18.6,2.4,9.6,29.6,39.2,56.8,23.5,16.2,3.5
Jun-2012,60.9,47.0,107.9,36.9,21.4,11.9,2.1,10.7,24.3,35.0,47.1,15.8,9.1,3.2
Jul-2012,73.3,52.8,126.1,29.2,22.1,12.8,2.4,11.9,26.8,38.7,40.4,15.6,9.1,3.9
Aug-2012,70.6,52.1,122.8,27.8,23.7,13.7,2.4,12.5,28.1,40.6,39.5,17.0,9.6,3.3
Sep-2012,84.6,57.4,142.1,25.0,22.5,12.4,2.9,17.8,33.5,51.4,33.7,16.1,9.3,4.0
Oct-2012,95.3,58.7,154.1,19.0,24.6,15.8,3.8,24.8,35.1,59.9,25.4,17.4,11.4,4.0
Nov-2012,128.6,69.6,198.3,16.5,27.8,17.4,3.4,40.3,45.0,85.3,22.9,19.5,14.3,4.7
Dec-2012,112.5,63.9,176.5,24.2,23.1,13.9,4.1,40.7,42.8,83.5,30.0,16.3,11.4,4.7
Jan-2013,122.1,67.6,189.6,19.9,30.1,20.5,4.4,41.2,45.9,87.2,24.8,22.3,17.5,4.6
Feb-2013,99.4,63.6,163.0,27.3,31.7,21.3,3.8,28.0,40.0,67.8,31.4,23.5,17.8,4.5
Mar-2013,92.2,65.6,157.8,35.0,36.2,25.0,3.5,29.5,40.9,70.2,41.2,28.2,21.8,4.8
Apr-2013,65.9,56.1,121.9,45.9,29.3,17.2,2.3,12.1,30.6,42.3,54.9,21.8,14.6,2.9
May-2013,67.6,57.1,124.7,41.6,24.4,14.4,3.8,12.5,29.3,42.1,50.9,17.7,12.2,3.3
Jun-2013,67.5,49.3,116.8,32.1,23.7,13.4,2.0,12.3,24.0,39.3,42.7,17.5,10.8,3.0
Jul-2013,63.4,54.8,118.1,34.8,28.0,15.8,2.8,12.0,28.1,43.0,48.2,21.3,13.2,3.0
Aug-2013,68.5,52.3,120.7,28.4,25.2,13.4,2.4,13.1,27.3,40.2,39.7,18.9,12.3,1.8
Sep-2013,107.1,59.1,166.1,16.3,29.7,17.2,2.9,26.5,35.5,61.8,22.8,21.6,14.5,2.8
Oct-2013,92.8,52.6,145.4,21.4,25.5,12.6,3.1,24.4,32.3,56.5,29.0,18.1,10.6,3.7
Nov-2013,122.0,62.3,184.2,14.3,27.1,14.7,4.1,39.3,42.8,81.9,20.9,18.9,12.7,5.1
Dec-2013,113.1,57.9,171.3,25.2,26.2,14.5,3.1,42.9,41.7,84.0,30.8,18.9,12.7,4.8
Jan-2014,104.8,56.3,161.1,26.2,22.3,11.6,1.8,42.5,38.4,77.1,34.6,16.5,10.6,4.2
Feb-2014,70.6,48.5,119.0,34.3,19.7,8.5,2.8,14.6,29.5,41.7,45.8,14.7,7.9,3.3
Mar-2014,101.2,66.2,167.4,23.6,35.7,23.8,3.3,33.0,43.5,75.1,34.5,27.3,22.5,4.4
Apr-2014,81.1,59.3,140.4,29.4,31.0,20.0,2.3,19.9,35.2,53.8,41.8,24.4,18.5,4.4
May-2014,77.9,56.9,134.8,35.5,23.3,13.6,1.4,13.8,31.7,43.4,49.3,16.9,12.0,2.9
Jun-2014,74.3,54.6,128.9,31.7,21.9,11.6,3.0,14.8,28.9,42.8,44.4,16.3,10.5,2.4
Jul-2014,59.9,49.9,109.8,30.5,22.8,13.0,3.3,13.2,27.5,39.9,45.6,17.7,12.1,3.7
Aug-2014,60.8,45.5,106.3,29.5,18.5,9.7,3.0,13.2,26.0,37.7,40.3,14.1,9.3,4.2
Sep-2014,93.9,63.0,156.9,21.1,35.5,25.2,5.5,26.0,40.1,64.6,31.0,29.1,24.7,3.1
Oct-2014,103.0,55.5,158.6,20.3,22.5,12.8,3.5,25.0,34.0,55.7,29.1,16.9,11.8,3.0
Nov-2014,150.1,64.7,214.8,12.8,29.4,20.3,3.6,63.7,43.4,106.4,15.8,22.3,18.1,4.4
Dec-2014,110.4,59.7,170.1,22.7,22.5,13.2,3.2,36.2,37.9,73.3,29.1,14.9,12.1,4.0
Jan-2015,109.8,62.7,172.5,23.8,24.3,13.5,4.3,34.1,38.6,69.8,33.7,15.8,12.6,3.6
Feb-2015,108.8,64.7,173.5,22.2,28.2,15.8,6.0,30.1,40.5,68.8,30.9,17.9,14.4,5.9
Mar-2015,81.3,55.8,137.1,29.0,31.2,19.5,2.8,19.8,35.1,52.4,43.4,23.0,18.3,5.9
Apr-2015,77.8,56.2,134.0,33.4,25.5,16.1,1.2,17.2,33.9,49.3,46.8,19.1,14.1,4.4
May-2015,62.2,48.6,110.8,41.6,20.1,10.5,3.0,9.7,24.6,32.8,54.1,14.4,8.7,2.8
Jun-2015,69.1,50.5,119.7,37.3,22.6,12.8,5.3,11.7,26.1,36.5,50.3,17.1,10.8,4.0
Jul-2015,71.4,49.5,120.9,34.4,20.0,11.1,6.0,11.2,23.9,33.2,46.2,15.2,9.5,3.5
Aug-2015,69.7,49.0,118.8,29.0,20.5,12.2,0.5,12.6,26.3,36.3,40.4,15.8,9.3,4.0
Sep-2015,99.3,57.0,156.2,21.2,20.4,12.6,1.0,22.9,32.6,53.5,31.4,15.0,8.1,3.6
Oct-2015,108.8,58.5,167.3,18.3,26.0,18.6,0.0,30.2,35.6,62.2,24.5,20.1,12.8,3.7
Nov-2015,98.3,53.9,152.2,24.9,21.8,12.7,3.0,25.5,29.5,53.0,34.3,16.2,9.1,3.5
Dec-2015,72.4,47.2,119.7,32.6,24.1,11.9,1.6,12.1,24.2,33.2,44.1,19.1,8.2,3.6
Jan-2016,123.1,60.0,183.2,23.8,23.2,13.6,3.9,44.2,38.2,80.1,32.7,16.5,9.1,4.8
Feb-2016,106.6,58.7,165.2,27.4,23.1,13.0,4.1,33.2,36.5,69.6,38.1,16.8,9.8,3.9
Mar-2016,87.3,57.6,144.9,30.2,26.1,18.0,3.5,20.4,34.3,54.7,41.2,18.9,15.6,2.3
Apr-2016,85.5,58.8,144.3,33.9,21.1,12.5,5.9,14.7,30.3,45.1,46.5,14.5,8.7,3.4
May-2016,63.2,50.9,114.2,39.6,22.4,13.8,4.0,10.5,26.1,35.9,53.2,17.0,10.7,3.3
Jun-2016,69.5,48.7,118.2,31.5,21.3,12.6,6.1,11.8,24.9,36.1,43.9,16.1,9.7,4.4
Jul-2016,69.9,45.4,115.4,24.2,17.0,10.9,2.5,10.6,21.3,32.0,36.6,13.0,6.8,2.5
Aug-2016,65.6,47.6,113.2,27.2,20.7,12.7,2.0,11.1,23.6,34.7,39.7,16.8,8.6,3.1
Sep-2016,87.3,54.7,142.1,21.6,21.5,12.9,2.5,14.6,28.2,42.8,30.1,16.8,8.7,3.8
Oct-2016,108.3,58.3,166.6,15.3,24.3,16.7,5.0,32.4,33.7,66.0,20.0,19.9,12.0,3.2
Nov-2016,139.0,66.1,205.3,15.4,24.6,14.5,6.1,49.5,41.4,90.9,20.9,19.1,11.6,4.9
Dec-2016,180.9,69.7,250.7,11.1,33.2,23.9,5.8,79.2,49.6,128.8,14.0,27.1,20.3,2.6
Jan-2017,110.4,71.7,241.1,12.8,31.3,23.8,8.5,51.1,50.7,129.2,16.1,24.8,21.3,3.3
Feb-2017,57.1,54.7,142.1,25.5,25.6,18.4,5.1,13.9,33.9,55.2,32.8,21.2,16.2,4.2
Mar-2017,50.2,52.9,129.7,33.6,23.1,13.5,2.4,9.2,31.9,46.1,43.9,17.8,12.0,3.6
Apr-2017,40.7,51.1,113.6,38.3,22.4,12.8,3.4,7.9,28.7,40.9,51.2,17.5,11.3,2.9
May-2017,39.7,47.4,108.2,34.3,22.3,12.8,2.1,7.0,26.8,37.6,48.3,18.0,11.4,3.4
Jun-2017,37.0,45.6,102.2,34.3,21.1,11.4,1.9,5.8,22.7,31.6,50.6,16.4,9.5,2.9
Jul-2017,38.2,42.0,100.6,27.5,17.2,9.4,0.8,5.9,21.2,26.7,42.4,13.0,7.5,3.1
Aug-2017,41.7,44.3,108.2,23.6,17.8,10.2,0.6,8.2,24.4,33.5,36.8,13.8,8.7,1.4
Sep-2017,48.1,47.8,121.6,20.2,19.2,12.1,1.8,10.2,27.7,39.3,31.2,14.1,10.4,1.3
Oct-2017,51.7,47.4,126.7,22.8,20.0,10.9,1.6,13.7,28.5,45.6,32.0,15.6,9.3,3.3
Nov-2017,69.8,57.0,164.1,17.1,22.8,13.4,4.5,24.7,38.6,76.4,23.8,17.5,11.8,2.9
Dec-2017,57.1,52.9,140.5,21.8,17.5,9.9,5.6,17.5,36.1,63.0,28.8,13.0,9.4,2.0
Jan-2018,46.0,47.3,117.9,26.4,19.3,10.3,3.0,13.9,32.1,49.2,35.8,14.9,10.8,2.0
Feb-2018,47.6,51.5,124.5,26.1,23.5,11.9,3.1,12.8,35.2,51.4,36.3,16.9,12.5,1.5
Mar-2018,41.5,51.1,114.8,29.8,26.3,15.0,4.0,10.3,34.4,46.2,42.4,20.2,13.6,1.8
Apr-2018,34.8,46.8,100.1,35.5,25.7,16.8,1.3,7.3,28.7,36.6,50.6,20.7,14.6,1.1
May-2018,32.6,49.3,99.3,40.9,29.3,18.9,1.4,6.0,28.3,35.1,59.8,24.0,16.1,3.8
Jun-2018,27.9,39.4,82.2,36.5,21.3,10.4,2.7,4.7,20.1,25.6,55.5,16.6,8.7,2.0
Jul-2018,27.2,45.5,87.2,38.1,22.9,11.8,-1.7,4.2,23.3,27.6,62.6,18.6,10.1,2.4
Aug-2018,33.2,39.2,90.2,22.5,16.3,7.9,1.8,5.9,20.6,27.7,37.3,11.9,6.4,1.9
Sep-2018,39.1,44.3,104.3,26.6,19.0,9.6,0.3,10.3,26.4,40.1,41.0,14.3,7.9,1.2
Oct-2018,48.3,47.6,121.7,20.4,19.3,11.4,-0.8,13.6,30.7,49.8,29.7,15.0,9.0,2.7
Nov-2018,52.1,48.1,127.9,17.6,23.9,15.2,5.9,18.2,34.1,62.0,23.8,19.8,13.0,1.7
Dec-2018,50.9,48.5,126.6,22.2,19.7,11.4,2.5,19.4,33.1,63.4,30.8,15.5,9.4,1.6
Jan-2019,52.8,54.5,135.5,18.9,22.7,13.9,2.7,18.7,39.5,65.3,29.9,18.2,13.2,2.8
Feb-2019,57.3,57.0,144.9,21.7,28.7,18.5,1.1,23.0,39.5,72.2,32.7,23.4,17.1,2.5
Mar-2019,31.0,42.6,90.0,34.9,20.9,11.3,4.9,7.7,25.7,36.0,52.7,16.6,10.9,2.3
Apr-2019,25.2,46.2,84.9,38.1,32.3,22.8,12.4,6.9,31.5,39.9,54.7,29.2,23.1,2.8
May-2019,24.7,39.7,77.5,35.7,19.5,10.7,11.5,5.5,22.4,29.3,53.7,15.3,10.9,1.5
Jun-2019,22.0,34.9,68.6,31.4,18.0,9.2,4.5,5.0,19.4,24.9,51.8,14.1,9.5,1.8
Jul-2019,23.4,36.2,72.1,28.2,18.5,9.1,5.7,4.8,18.4,24.4,50.7,13.9,8.9,2.6