"Worksheet 6: Sickness absence rate [note 1,2], by sex, 1995 to 2022, UK.",,,,,,
This worksheet contains one table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,
Source: Labour Force Survey person datasets [note3],,,,,,
Year,"Sickness absence rate
men
(%)","Sickness absence rate 
women
(%)",,,,
1995,2.6,3.8,,,,
1996,2.5,3.6,,,,
1997,2.6,3.8,,,,
1998,2.5,3.6,,,,
1999,2.6,3.7,,,,
2000,2.5,3.5,,,,
2001,2.5,3.5,,,,
2002,2.4,3.5,,,,
2003,2.5,3.4,,,,
2004,2.3,3.3,,,,
2005,2.2,3.1,,,,
2006,2.2,2.9,,,,
2007,2.1,3.2,,,,
2008,2.0,3.1,,,,
2009,1.9,3.0,,,,
2010,1.8,2.8,,,,
2011,1.7,2.6,,,,
2012,1.7,2.7,,,,
2013,1.6,2.6,,,,
2014,1.6,2.5,,,,
2015,1.7,2.6,,,,
2016,1.6,2.5,,,,
2017,1.5,2.4,,,,
2018,1.6,2.5,,,,
2019,1.6,2.4,,,,
"2020 [note 4,5]",1.5,2.3,,,,
"2021 [note 4,5]",1.8,2.6,,,,
2022,2.2,3.2,,,,
,,,,,,
,,,,,,